@relation accidents

@ATTRIBUTE avc real
@ATTRIBUTE rmsY real
@ATTRIBUTE rmsAcc real
@ATTRIBUTE meanAcc real
@ATTRIBUTE maxFallX real
@ATTRIBUTE maxRiseY real
@ATTRIBUTE fallDivY real
@ATTRIBUTE riseDivideY real
@ATTRIBUTE maxFallAcc real
@ATTRIBUTE fallDivAcc real

@ATTRIBUTE class {fast, normal, slow}

@DATA
0.025356971,1.4119269549,1.0874256337,1.00374781,203,4,1.8360460122699403E-4,1.0460126213592275E-4,191,1.1078523751600246E-5,fast
0.0019244525,0.3023163045,1.0693045494,1.0227746453,171,4,0.0639930528,0.045246173,191,0.0014327771,fast
0.0164228601,3.2324476265,1.0624931005,1.0257853716,155,4,0.0530181697,0.3515950685,161,0.0098219212,normal
0.0457346657,7.0864874252,1.0146816964,1.0061509114,113,5,0.0109920956,0.0039018473,166,0.0017582123,fast
0.0147808771,3.1191895637,1.0524459084,0.9188471811,118,8,0.0424587107,0.0814082034,127,0.0019078716,fast
0.174769876,7.3570387253,1.2958819215,0.8040471347,189,4,5.250350877192794E-4,9.830917874396394E-5,185,9.48329701251297E-6,normal
0.0701945315,8.6212735792,1.0428093412,0.9003769957,95,6,0.009887375,0.0098162262,119,0.0012714533,normal
0.0017005958,5.9758983606,1.0536708218,1.01723411,153,9,0.0451469497,0.0204207888,149,1.6859598827853164E-4,normal
0.1993828635,7.5085471002,1.3574040562,1.0892635636,190,4,8.688709677419046E-5,1.7610294117646507E-5,174,1.4707826620619029E-5,slow
0.1712891156,8.8538737487,1.3458008251,1.0344896801,175,4,1.6058536585366207E-4,1.3959010600706395E-4,179,1.7059366985998952E-4,slow
0.0405843102,1.4360618463,0.9812487932,0.9582168355,144,4,0.0632069267,0.03184289,159,0.0118273694,slow
0.0011434793,8.5614204291,1.0075497127,1.010610139,172,3,2.226976744186673E-5,1.2182743362831872E-4,202,1.824089922955605E-5,slow
0.0543268156,6.7344012919,1.0621707802,1.0399170056,188,5,0.19871874,0.074444725,192,0.0107025105,fast
0.0016306756,5.6412376709,1.0262229986,0.9591436684,134,4,1.8360552147239265E-4,4.244680851065024E-6,192,3.084381417248183E-5,normal
0.0859453785,7.7223254076,0.9944689755,0.9217826346,118,4,0.0042129516,0.0268973594,153,9.153444897005238E-4,slow
0.0079296232,9.0517625084,1.0036232538,0.9225663473,128,6,0.0028669026,1.5578595890411098E-4,178,1.364985208477081E-4,slow
0.0360869577,1.5959786974,0.9722886814,1.032371927,123,9,0.002644263,0.0011234333,129,3.150282981530367E-5,fast
0.1907614363,9.1724997889,1.5811973262,0.949764305,180,6,0.0466766129,0.3652789864,163,0.0426343305,normal
0.1684886827,7.9701669844,1.4171597492,0.9488211325,173,7,0.009576807,0.2878821155,195,1.3081086677797344E-5,normal
0.0063754811,9.6075831337,0.9993830755,1.2121906617,114,3,0.0018567296,0.0068676053,184,3.534130843904028E-5,slow
0.039476052,3.1614835233,1.1298038039,1.0334687056,123,10,0.0188210852,0.0112267245,91,4.165370097606911E-4,fast
0.0088540267,5.2819162929,1.05946111,1.0636740796,125,8,0.0109411496,0.0173414502,142,1.4599784830158417E-4,fast
0.0652862348,7.7598951084,1.0385511804,0.9200157104,161,5,0.0132595541,0.1249474042,114,0.0010770201,fast
0.025255994,0.9041715397,0.9666166458,1.1577260775,116,4,0.0118325681,0.0013883043,124,6.788998521546065E-5,fast
0.0652862348,7.7598951084,1.0385511804,1.0087874196,161,6,0.0142131987,0.0188936368,114,0.0010770201,fast
0.0617477881,8.2991632419,1.1982005877,0.9662520161,177,11,0.1422887511,0.0837305652,157,0,fast
0.1889656713,11.1600724712,1.7983882838,1.0052089493,170,8,0.0042221401,6.718425726403996E-4,149,0.0301531138,normal
0.0290412769,1.3526338438,1.1212360431,1.163633554,155,8,6.596269656200798E-4,0.0011086194,157,0.0024401838,normal
0.208002928,8.6724985395,1.5804136177,0.9077808464,150,11,0.0367026025,0.2213091966,142,0.0772384329,normal
0.0597307852,6.0115078975,1.0340418012,0.9709325194,96,6,0.0142131987,0.0188936368,124,0.0019559704,normal
0.2588501251,9.2144047559,1.5430884242,1.0502113238,180,7,0.3247786501,0.1809310546,161,0.0040791774,slow
0.2588501251,9.2144047559,1.5430884242,1.0502113238,180,7,0.3247786501,0.1809310546,161,0.0040791774,slow
0.2565607847,8.8022782286,1.480175711,1.0540462253,167,6,0.173679381,0.0289618309,156,0.0058128728,slow
